Datum,Rubrik,Ingress,Bild-URL,Koordinat
1938-01-01,Sveriges utlännings­lag,"Från och med 1 januari 1938 trädde Sveriges nya utlänningslag i kraft. Grundtanken med lagen var att förhindra en storskalig invandring, särskilt av judar som flydde från Tyskland och Centraleuropa. Politikerna menade att dessa skulle utgöra ett hot mot den svenska arbetsmarknaden. Romer hade förbjudits att komma in i Sverige redan 1914. Inreseförbudet för romer gällde fram till 1954.",https://museumforintelsen.se/wp-content/uploads/2023/05/BA-183-E01073-scaled-1-1920x1080.webp,
1938-03-12,Anschluss,"Adolf Hitler hade tidigt i sin politiska karriär lovat att Österrike skulle vara en del av Stortyskland. Efter åtskilliga hotelser och politiska utspel tågade tyska trupper in i Österrike den 12 mars 1938 och dagen efter upphävdes landets självständighet. Det kallades anslutningen, Anschluss. Förföljelsen av österrikiska judar påbörjades omedelbart.",https://museumforintelsen.se/wp-content/uploads/2023/05/BA-101III-Pleisser-005-20-scaled-1-1920x1080.webp,
1938-07-06,Evian­konferensen,"Utvecklingen i Tyskland efter 1933 gjorde att hundratusentals människor försökte fly till andra länder, men möjligheterna var små. Efter Anschluss blev flyktingkrisen ett internationell angelägenhet.På USA:s initiativ samlades diplomater från trettiotvå länder i staden Évian i Frankrike i juli 1938. Trots de höga förhoppningarna utmynnade konferensen inte i någonting eftersom inget land, förutom Dominikanska republiken, var villigt att ta emot fler judar än tidigare.",https://museumforintelsen.se/wp-content/uploads/2023/05/Eviankonferensen-scaled-1-1920x1080.webp,
1938-08-17,Namnlagen,"För att ytterligare kunna skilja judar från icke-judar i Tyskland, stiftade nazisterna en ny lag i augusti 1938. Lagen tvingade alla judar som inte bar ”typiska judiska namn” att från 1 januari 1939 lägga till förnamnen Israel respektive Sara.",https://museumforintelsen.se/wp-content/uploads/2023/05/SMF_DIG60190_beskuren-jpg.webp,
1938-10-05,J-stämpeln,"Regeringarna i Sverige och i Schweiz krävde, för att hindra en judisk flyktingvåg efter Anschluss, att det skulle vara möjligt att identifiera alla judiska emigranter. Ställda inför risken att samtliga tyskar skulle behöva söka visum föreslog tyska regeringen att judiska identitetshandlingar skulle stämplas med ett rött J. De schweiziska och svenska regeringarna accepterade de nya bestämmelserna.",https://museumforintelsen.se/wp-content/uploads/2023/03/j-pass-werbel-jpg-webp.webp,
1938-11-10,November­­pogromen,"Natten mellan den nionde och den tionde november vandaliserades judiska hem, butiker, barn- och ålderdomshem över hela Nazityskland. Fler än 1400 synagogor och bönehus brändes ner. Poliser och nazister fängslade tiotusentals judiska män och förde dem till koncentrationsläger. Så många som 2000 judar kan ha mördats eller begått självmord under natten och dagarna som följde. Initiativet till förstörelsen och förföljelsen kom från den nazityska ledningen, men många judiska familjer fick också uppleva hur deras grannar och tidigare kunder deltog i våldshandlingarna. Efter pogromen tvingades de tyska judarna att betala ett jättelikt skadestånd till den tyska staten liksom att stå för alla kostnader för ”återställandet av gatubilden” efter förstörelsen.",https://museumforintelsen.se/wp-content/uploads/2023/05/Novemberpogrom_Magdeb_BA-146-1970-061-65-scaled-1-1920x1080.webp,
1938-11-11,Koncentrations­läger,I samband med Novemberpogromen förde nazisterna fler än 6 000 judiska män till koncentrationslägret Sachsenhausen utanför Berlin. Nazisterna hade upprättat tillfälliga koncentrationsläger för att fängsla sina fiender redan 1933. De tidiga koncentrationslägren var hastigt uppförda av den nazistiska kamporganisationen SA och utan övergripande kontroll. De var samtidigt offentliga och en del av den nazistiska propagandan. Det första stora koncentrationslägret styrt av SS var Dachau utanför München.,https://museumforintelsen.se/wp-content/uploads/2023/05/BA-183-78612-0002-scaled-1-1920x1080.webp,
december 1938,Barnkvoten,"Efter Novemberpogromen 1938 ordnade judiska organisationer räddningsaktioner för judiska barn. Flera länder tog emot barnen under förutsättning att de kom utan sina föräldrar. Till Storbritannien kom ungefär 10 000 barn under åren 1938–1939. Sverige tog emot cirka 500 barn mellan tre och femton år inom en särskild flyktingkvot, barnkvoten. Beslutet togs efter att judiska församlingen i Stockholm hade uppvaktat utrikesministern och Socialstyrelsen. Ett krav för att barn skulle få komma till Sverige var att organisationer eller privatpersoner erbjöd sig att stå för alla kostnader. De flesta av dessa barn återsåg aldrig sina föräldrar, som mördades under Förintelsen.",https://museumforintelsen.se/wp-content/uploads/2023/05/SSMAB000328S-1-1500x1080.webp,
1938-12-03,Judiska företag förbjuds,"En förordning kring judisk förmögenhet tvingade alla judar i Nazityskland att sälja sina affärsrörelser och fastigheter samt att ge sina värdepapper och andra värdesaker till staten. Alla företag skulle ägas av en ""arisk"" person.",https://museumforintelsen.se/wp-content/uploads/2023/05/BA-146-1977-061-18-scaled-1-1920x1080.webp,
1939-03-15,Tjeckien invaderas,"Året innan hade Tjeckoslovakien tvingats ge upp provinsen Sudetenlandet till tyskarna. I utbyte lovade Hitler att inte starta krig men den 15 mars gick tyska trupper in och ockuperade områdena Böhmen och Mähren. Samtidigt blev Slovakien som utropat sig självständigt från Tjeckien, en tysk lydstat.",https://museumforintelsen.se/wp-content/uploads/2023/09/Tysk_invasion_Prag_980x704px-jpg.webp,
